A1_Nquest,DIAENTR,MESENTR,ANOENTR,D1A_ID,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,RAMOATIV,RAMOCHEFEF,OCUPA,UF,CID,REG,Q1,Q2,Q3,Q401,Q402,Q403,Q404,Q405,Q406,Q407,Q501,Q502,Q503,Q504,Q505,Q601,Q602,Q603,Q604,Q7,Q8,Q9,Q10A,Q10B,Q11,Q12P1_A,Q12P1_B,Q12P2_A,Q12P2_B,Q12G_1A,Q12G_2,Q12S1,Q12S2,Q12CD,Q12CD_recode,Q12AL,Q12AL_recode,Q13A,Q13B,Q13B_2,Q13B2A,Q13G1,Q13G2,Q13S,Q13CD,Q13CD_recode,Q13AL,Q13AL_recode,Q14A,Q14B,Q1501,Q1502,Q1503,Q1504,Q1505,Q1506,Q1507,Q1508,Q1509,Q1510,Q1511,Q1512,Q1513,Q1514,Q1515,Q1516,Q1517,Q1518,Q1519,Q1520,Q1521,Q1522,Q1523,Q1524,Q1525,Q1526,Q1601,Q1602,Q1603,Q1604,Q1605,Q1606,Q1607,Q1608,Q1609,Q1610,Q1611,Q1612,Q1613,Q1614,Q1615,Q1616,Q1617,Q1618,Q1619,Q1620,Q1621,Q1701,Q1702,Q1703,Q1704,Q1705,Q1706,Q1707,Q1708,Q1709,Q1710,Q1711,Q1712,Q1713,Q1714,Q1715,Q1716,Q1717,Q1718,Q1719,Q1720,Q1721,Q1722,Q1723,Q1724,Q1725,Q1726,Q18,Q21,Q22A,Q22B,Q22C,Q22D,P1,P1A,D5_1,D5_2,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P301,P302,P303,P304,P305,P306,P307,P308,P309,P310,P311,P312,P401,P402,P403,P404,P405,P406,P407,P408,P409,P410,P411,P412,P5,P601,P602,P603,P604,P605,P606,P607,P608,P609,P610,P611,P612,P613,P614,P615,P616,P7_aberta_agregada,P8,P9,P1001,P1002,P1003,P1004,P1101,P1102,P1103,P1104,P1105,P12,P13_aberta_agregada,P14A,P14B,P15,P1601,P1602,P1603,P1604,P1605,P1606,P1607,P1608,P1609,P1610,P1611,P1701,P1702,P1703,P1704,P1705,P1706,P1707,P1708,P1709,P1710,P1711,P1712,P1713,P18,P19,P20,P2101,P2102,P2103,P2104,P2105,P2106,P22,P24,P25,P26,P27,P28,P28A,P28B,P29,P30,D4,D7,D8,D8A,D6,D9,D9A,D9B_FAIXA_RENDAF,D11,D10,D10A,D12,D12A,D14,D15,D16,D20,DIAANIVER,MESANIVER,ANOANIVER,A3
1,15,11,2018,41,4,2,5,6,99,2,12,1,1,4,3,2,3,1,5,1,3,1,1,3,1,2,3,3,1,1,1,1,1,1,5,5,99,5,1,9,1,2,9950,9999,1206,9998,2037,1,9998,3,1,2,4,99,9950,9999,9950,9950,4,9950,4,5,5,1,96,96,96,1,98,96,1,96,96,1,96,1,96,96,96,96,1,96,96,96,96,96,96,96,96,1,0,1,0,0,1,10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,2,2,2,3,0,2,4,2,2,96,2,2,2,2,2,2,2,2,0,2,1,10,5,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,1,1,6,6,5,5,6,1,6,5,1,3,1,1,3,4,3,4,4,1,3,3,1,2,0,3,0,0,2,0,1,1,1,0,0,3,2,2,0,3,70,8,2,1,1,1,1,1,1,1,1,1,1,20,2,99,2,10,2,10,10,2,2,2,2,10,10,10,5,1,1,5,1,1,5,1,5,5,1,1,5,5,1,1,5,5,5,5,5,1,4,1,10,999,2,2,3,999,2,2,1,3,5,3,1,5000,999,4,3,5,100,1,2,1,2,7,3,5,12,1977,1
2,15,11,2018,23,2,1,5,4,99,1,12,1,1,4,3,3,2,1,1,1,3,1,1,3,4,2,5,3,1,3,3,2,1,2,5,5,99,3,1,9,1,2,1203,9999,1203,1202,9950,4,2084,1,5,99,5,99,9999,9999,9999,9999,999,9999,999,5,5,0,5,96,96,0,96,96,0,0,96,96,9,96,96,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,3,0,0,10,0,0,0,0,0,3,0,96,0,0,0,0,0,0,0,0,0,96,0,96,0,0,0,96,0,8,0,0,96,0,0,0,0,0,0,0,0,0,96,0,10,4,2,1,17,2,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,6,5,2,2,6,2,1,3,1,1,3,3,3,3,1,3,4,3,2,0,0,0,0,0,0,3,3,5,10,0,0,0,0,0,0,998,2,1,1,2,4,1,1,1,1,1,1,1,11,99,2,1,10,1,1,1,10,10,10,1,10,10,1,5,1,5,1,2,1,2,4,5,2,1,4,2,2,1,1,1,4,5,2,5,1,4,2,1,1,12,2,2,999,2,1,2,10,9999,999,999,12000,999,5,4,3,9999,2,2,1,2,1,3,3,3,1995,1
3,15,11,2018,21,2,2,6,10,99,4,12,1,1,4,4,3,5,3,5,1,3,3,1,3,2,1,1,3,1,1,1,2,1,3,5,5,99,5,1,9,1,2,9998,9999,9998,9998,9998,3,9998,3,1,2,1,2,1204,1204,1203,9998,3,9998,3,4,5,0,96,2,96,3,96,96,96,96,96,96,2,96,3,96,96,2,96,96,96,96,96,96,96,96,96,0,96,96,3,2,0,3,0,96,1,96,96,96,96,96,1,1,0,96,96,0,0,96,0,96,10,96,96,96,96,96,96,0,96,0,96,96,0,96,96,10,96,96,96,0,96,96,10,5,2,2,99,99,1,13,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,6,6,2,2,5,2,6,6,2,1,1,4,3,3,3,4,4,3,3,4,3,2,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,5,50,2,2,2,4,1,4,2,1,4,5,5,1,10,1,99,1,7,3,4,2,3,5,6,2,4,5,6,5,1,1,5,1,2,4,1,4,4,1,1,2,2,1,1,5,5,5,5,5,2,4,2,4,1,2,1,4,2,1,1,3,11,9999,999,999,40000,999,7,2,3,9999,8,2,1,2,8,2,11,12,1997,1
4,16,11,2018,39,4,1,3,3,99,3,12,1,1,4,3,2,1,1,3,1,1,1,1,3,2,3,3,3,1,3,1,1,1,2,5,1,17,5,1,9,1,2,1203,9999,1206,1202,9998,3,1174,1,1,2,1,2,1204,1204,1201,1175,2,9998,3,5,5,0,0,96,0,0,0,0,0,0,96,0,10,0,0,0,96,0,0,96,96,0,0,96,0,0,96,0,96,0,0,0,0,10,0,96,0,0,0,6,0,96,0,0,0,0,0,0,0,96,0,0,4,0,96,0,96,0,0,10,1,1,96,0,3,0,0,0,0,96,6,96,96,0,10,4,2,1,17,2,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,2,6,6,6,4,4,1,4,4,4,4,4,1,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,1,1,1,2,5,1,1,1,1,1,1,10,99,1,2,9,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,1,5,5,1,1,5,5,1,1,5,5,5,5,5,1,4,1,1,3,2,2,4,999,1,2,2,3,5,3,1,1500,999,2,4,3,9999,5,2,1,2,1,5,3,11,1979,1
5,16,11,2018,64,6,1,0,1,99,3,12,1,1,1,4,1,4,1,5,1,1,4,1,4,2,1,3,4,1,3,1,1,1,1,5,1,13,5,1,9,1,2,1203,9999,1206,1202,9998,3,9998,3,1,7,1,1,1203,1203,1203,9998,3,770,3,5,5,0,5,8,96,10,96,96,7,96,96,10,96,96,8,96,96,96,96,96,5,8,96,4,96,10,96,96,96,96,10,8,96,10,10,96,10,96,96,96,96,96,96,8,0,96,96,8,0,5,5,96,5,96,96,4,96,5,10,5,96,5,96,4,4,4,96,5,0,0,8,96,96,96,10,5,1,99,17,2,1,13,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,6,2,2,5,6,2,2,2,2,1,1,1,3,1,1,3,3,1,1,1,1,1,0,0,0,0,0,10,10,10,0,0,98,99,10,0,0,0,998,2,8,5,1,3,1,1,1,5,1,5,1,10,3,99,8,10,10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,1,3,3,3,1,3,3,3,8,1,1,1,3,3,1,1,5,1,1,5,3,2,1,2,4,2,1,3,16,9999,999,999,954,999,1,3,5,1,5,8,1,2,1,3,17,3,1954,1
6,16,11,2018,45,5,2,0,7,99,1,12,1,1,4,3,2,2,1,3,1,3,1,1,2,4,8,2,5,1,1,1,1,1,1,5,5,99,5,1,9,1,2,1203,9999,1201,1206,2038,1,1092,1,1,98,1,2,1204,1204,1202,9998,3,9998,3,5,5,10,5,96,96,10,5,96,96,96,96,96,5,96,96,96,96,96,5,96,5,96,96,96,96,96,96,5,96,96,5,5,96,10,96,96,5,96,96,96,96,96,96,96,5,96,96,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,10,5,2,1,98,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,6,6,2,6,6,1,6,1,1,1,3,1,4,4,1,4,4,1,4,4,4,1,0,0,5,10,10,0,10,10,5,0,0,0,10,5,10,0,998,1,2,1,1,1,1,1,1,1,1,1,1,10,99,2,2,10,5,5,10,5,5,10,10,5,10,5,4,3,4,1,1,1,2,2,2,4,4,2,2,4,1,1,2,5,2,2,2,2,4,2,2,7,4,2,4,999,2,1,2,1,2,3,2,954,999,1,3,3,9999,9,1,1,2,3,3,5,2,1973,1
7,16,11,2018,18,2,2,4,10,99,4,12,1,1,4,4,4,2,1,5,2,4,2,1,4,3,3,5,4,4,2,3,1,1,3,5,5,99,5,1,9,1,2,1203,9999,1204,1201,9960,4,9960,4,3,99,3,99,9999,9999,9999,9999,999,9999,999,5,4,0,96,98,96,0,0,0,0,96,96,0,96,0,10,96,96,7,96,0,0,4,1,98,0,96,96,8,96,0,0,0,98,10,6,96,0,7,96,9,96,96,96,98,0,96,96,0,0,96,4,96,2,96,96,3,96,96,96,96,96,8,96,96,4,96,96,9,5,96,7,96,96,96,7,5,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,1,1,6,6,3,2,2,1,4,2,1,3,1,3,4,2,4,4,4,1,2,3,2,2,9,5,1,7,2,1,5,2,0,0,4,9,9,6,2,3,998,8,8,2,1,3,3,2,1,3,4,4,1,25,2,99,8,5,2,3,3,1,3,2,1,8,1,5,3,1,5,5,8,8,8,8,5,8,5,8,3,1,1,1,5,5,1,5,1,8,4,2,5,4,98,8,3,999,2,2,3,98,9999,999,999,9999998,98,98,2,5,8,8,2,1,1,1,2,4,11,2000,1
8,17,11,2018,29,3,1,8,5,99,2,12,1,1,3,3,2,1,1,5,1,5,1,1,1,1,5,1,1,4,1,1,1,1,1,5,1,17,5,1,9,1,2,1201,9999,1203,1204,762,1,767,1,1,2,1,2,1204,1204,1203,9998,3,838,3,5,5,96,96,96,96,96,96,96,96,96,96,96,10,96,96,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,5,0,6,10,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,96,96,96,96,2,96,5,5,96,96,10,2,0,96,96,96,96,96,96,96,96,2,0,96,2,0,5,2,2,99,99,1,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,2,6,6,6,6,6,1,6,6,1,4,1,1,4,3,4,4,4,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,2,1,1,1,1,1,1,1,5,5,1,20,99,4,2,7,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,2,1,5,5,5,1,1,5,1,1,5,5,5,5,5,1,4,2,8,3,8,2,4,999,2,2,2,3,5,3,1,4000,999,3,5,5,998,7,5,1,2,1,4,18,4,1989,1
9,17,11,2018,25,3,2,8,4,99,1,12,1,1,4,4,4,2,1,1,1,1,2,1,2,1,2,4,5,2,1,1,2,1,1,4,5,99,5,1,9,1,2,1203,9999,1206,1203,763,1,768,1,1,98,1,60,1203,1203,1201,770,1,9998,3,3,4,2,96,5,96,8,5,96,8,96,96,3,7,96,4,96,96,5,5,5,7,4,6,4,96,96,96,1,96,96,5,5,7,8,2,96,0,3,96,96,96,96,96,3,0,96,3,1,2,8,10,5,8,4,3,1,2,6,6,3,5,10,3,4,6,3,7,8,2,1,7,5,7,4,10,4,2,2,99,99,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,6,6,2,5,6,5,3,3,2,3,3,3,4,4,2,3,4,4,2,1,0,4,5,2,2,3,3,0,4,5,2,0,0,0,2,998,3,1,1,1,2,1,2,2,4,1,1,1,998,2,99,2,5,2,2,5,3,5,2,1,2,3,6,5,1,5,1,2,1,2,2,4,2,1,2,1,2,1,2,4,5,5,5,1,2,4,2,2,1,4,2,4,999,1,2,2,3,5,3,1,2862,999,3,5,5,1,8,2,1,2,1,4,25,10,1993,1
10,17,11,2018,31,3,1,6,7,99,1,12,1,1,2,2,1,3,1,5,1,5,1,1,2,1,2,4,4,1,3,2,1,1,1,5,5,99,4,7,99,4,99,9999,9999,9999,9999,9999,999,9999,999,1,1,1,1,1202,1203,1202,9998,3,9998,3,5,5,0,4,2,2,5,8,6,8,96,96,96,8,1,0,0,8,96,5,2,5,8,5,2,1,96,2,8,0,0,8,0,0,10,5,0,0,0,2,0,96,96,96,8,0,96,0,0,10,8,7,96,7,5,5,1,96,96,6,3,96,10,96,8,6,5,7,8,96,3,3,96,96,96,10,5,2,1,50,2,1,13,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,6,6,2,5,6,6,6,6,2,3,3,4,4,4,4,4,4,4,4,4,3,2,0,0,0,0,0,0,8,8,5,0,0,5,0,0,0,0,21,1,1,1,2,2,1,4,1,2,1,1,1,30,99,2,2,5,2,6,3,3,4,4,6,6,5,6,1,1,5,1,3,1,4,4,4,5,1,1,1,5,3,1,5,5,5,5,5,1,4,2,1,1,7,2,4,999,2,1,3,1,2,2,1,2500,999,3,2,5,1,8,2,1,2,3,3,3,12,1987,1
